No.,Species,Dir Name,Element,Atomic Number Z,Ion Stage,Kurucz Code,In ref,In Kurucz-data,Status,Note
1,He I,He-I,He,2,I,2.00,Yes,No,Missing from Kurucz-data,element has no folder
2,Li I,Li-I,Li,3,I,3.00,Yes,Yes,Covered,
3,Li II,Li-II,Li,3,II,3.01,Yes,No,Missing from Kurucz-data,ion stage absent
4,Be I,Be-I,Be,4,I,4.00,Yes,Yes,Covered,
5,Be II,Be-II,Be,4,II,4.01,Yes,Yes,Covered,
6,Be III,Be-III,Be,4,III,4.02,Yes,No,Missing from Kurucz-data,ion stage absent
7,B I,B-I,B,5,I,5.00,Yes,Yes,Covered,
8,B II,B-II,B,5,II,5.01,Yes,Yes,Covered,
9,B III,B-III,B,5,III,5.02,Yes,Yes,Covered,
10,B IV,B-IV,B,5,IV,5.03,Yes,No,Missing from Kurucz-data,ion stage absent
11,C I,C-I,C,6,I,6.00,Yes,Yes,Covered,
12,C II,C-II,C,6,II,6.01,Yes,Yes,Covered,
13,C III,C-III,C,6,III,6.02,Yes,Yes,Covered,
14,C IV,C-IV,C,6,IV,6.03,Yes,Yes,Covered,
15,N I,N-I,N,7,I,7.00,Yes,Yes,Covered,
16,N II,N-II,N,7,II,7.01,Yes,Yes,Covered,
17,N III,N-III,N,7,III,7.02,Yes,Yes,Covered,
18,N IV,N-IV,N,7,IV,7.03,Yes,Yes,Covered,
19,N V,N-V,N,7,V,7.04,Yes,Yes,Covered,
20,N VI,N-VI,N,7,VI,7.05,Yes,No,Missing from Kurucz-data,ion stage absent
21,O I,O-I,O,8,I,8.00,Yes,Yes,Covered,
22,O II,O-II,O,8,II,8.01,Yes,Yes,Covered,
23,O III,O-III,O,8,III,8.02,Yes,Yes,Covered,
24,O IV,O-IV,O,8,IV,8.03,Yes,Yes,Covered,
25,O V,O-V,O,8,V,8.04,Yes,Yes,Covered,
26,O VI,O-VI,O,8,VI,8.05,Yes,Yes,Covered,
27,F I,F-I,F,9,I,9.00,Yes,Yes,Covered,
28,F II,F-II,F,9,II,9.01,Yes,Yes,Covered,
29,F III,F-III,F,9,III,9.02,Yes,Yes,Covered,
30,F IV,F-IV,F,9,IV,9.03,Yes,Yes,Covered,
31,F V,F-V,F,9,V,9.04,Yes,Yes,Covered,
32,F VI,F-VI,F,9,VI,9.05,Yes,Yes,Covered,
33,Ne I,Ne-I,Ne,10,I,10.00,Yes,Yes,Covered,
34,Ne II,Ne-II,Ne,10,II,10.01,Yes,Yes,Covered,
35,Ne III,Ne-III,Ne,10,III,10.02,Yes,Yes,Covered,
36,Ne IV,Ne-IV,Ne,10,IV,10.03,Yes,Yes,Covered,
37,Ne V,Ne-V,Ne,10,V,10.04,Yes,Yes,Covered,
38,Ne VI,Ne-VI,Ne,10,VI,10.05,Yes,Yes,Covered,
39,Na I,Na-I,Na,11,I,11.00,Yes,Yes,Covered,
40,Na II,Na-II,Na,11,II,11.01,Yes,Yes,Covered,
41,Na III,Na-III,Na,11,III,11.02,Yes,Yes,Covered,
42,Na IV,Na-IV,Na,11,IV,11.03,Yes,Yes,Covered,
